Politician,Year,Party,House,Total,Travelling Allowance,Overseas Travel,Domestic Scheduled Fares,Charter,Car Costs,Office Facilities,Office Fit Outs,Office Administrative Costs,Telecommunications,Family Travel Costs
Lisa Chesters,2013,ALP,MP,74733,6002,0,5907,0,2620,23668,5006,29896,1634,0
Lisa Singh,2013,ALP,Senator,292261,19530,0,37977,0,19214,104557,3681,87874,10445,8983
Louise Markus,2013,Liberal,MP,492243,13120,0,2197,0,25134,178870,1240,256785,16198,-1301
Louise Pratt,2013,ALP,Senator,432525,26007,1134,69834,46970,17171,125665,0,128048,12788,4908
Lucy Wicks,2013,Liberal,MP,42291,0,0,1086,0,1047,31709,0,5937,2257,254
Luke Hartsuyker,2013,National,MP,553637,35667,0,72493,6110,35014,171508,0,214549,12804,5493
Luke Howarth,2013,Liberal,MP,58753,4824,0,6615,0,2543,20878,2040,12224,1750,7881
Luke Simpkins,2013,Liberal,MP,515653,19157,3370,56578,0,20219,192799,0,200072,11537,11920
Mal Brough,2013,Liberal,MP,87488,5896,0,3098,0,6057,64020,2294,4171,1438,514
Mal Washer,2013,Liberal,MP,228223,12480,18172,16440,0,2602,100291,0,61221,10428,6588
Malcolm Turnbull,2013,Liberal,MP,592856,18103,0,36164,0,24076,280847,0,203223,22401,8042
Maria Vamvakinou,2013,ALP,MP,390249,9258,-119,22176,0,18669,168563,5440,148412,16107,1743
Marise Payne,2013,Liberal,Senator,300105,12434,0,15824,0,39438,167303,487,51346,11727,1547
Mark Bishop,2013,ALP,Senator,402923,21820,58147,58638,1637,19136,139205,0,70965,12516,20859
Mark Butler,2013,ALP,MP,571493,42547,3153,89302,0,55589,120564,600,249901,6035,3803
Mark Coulton,2013,National,MP,469840,25123,892,17796,42144,60328,136407,0,165438,13124,8588
Mark Dreyfus,2013,ALP,MP,891578,28156,102704,80796,0,65204,300161,455,290278,10853,12970
Mark Furner,2013,ALP,Senator,294467,25537,13161,41883,464,24759,95082,0,74826,11537,7219
Martin Ferguson,2013,ALP,MP,329821,26363,63825,47691,-366,41971,92864,0,48648,7674,1151
Mary Jo Fisher,2013,Liberal,Senator,724,0,0,0,0,497,405,0,-178,0,0
Mathias Cormann,2013,Liberal,Senator,508851,42967,0,98058,1539,46752,201912,891,78999,10468,27266
Matt Thistlethwaite,2013,ALP,MP,611012,15844,35193,29601,268,22253,89814,348683,53815,14377,1164
